profile,engine,spec,panel,counter,iso3,country_es,moment,moment_label,value,source_var,target,verified,source,gap,gap_pct
paper_memlite,matlab,panelC_no_hurricane,C,7,JAM,Jamaica,spread_mean_bp,Spread promedio (pb),407.1308960989672,meanspread_sim,435.0,True,mallucci2022_jie_table2,-27.869103901032815,-6.4066905519615664
paper_memlite,matlab,panelC_no_hurricane,C,7,JAM,Jamaica,debt_gdp,Deuda externa/PIB,0.638646288287957,meanBY_sim,0.65,True,mallucci2022_jie_table2,-0.011353711712043024,-1.7467248787758498
paper_memlite,matlab,panelC_no_hurricane,C,7,JAM,Jamaica,debt_gdp_market,Deuda/PIB (valor de mercado),0.6035410223089993,meanBY_sim_market,0.61,True,mallucci2022_jie_table2,-0.006458977691000678,-1.05884880180339
paper_memlite,matlab,panelC_no_hurricane,C,7,JAM,Jamaica,hurricane_freq,Frecuencia de huracan,0.0002,hur_freq_sim,,,,,
paper_memlite,matlab,panelC_no_hurricane,C,7,JAM,Jamaica,default_freq,Frecuencia de default,0.0384168993597842,def_freq_sim,0.037,True,mallucci2022_jie_table2,0.0014168993597842017,3.8294577291464913
paper_memlite,matlab,panelC_no_hurricane,C,1,ATG,Antigua y Barbuda,spread_mean_bp,Spread promedio (pb),338.50747018119534,meanspread_sim,314.0,True,mallucci2022_jie_table2,24.507470181195345,7.80492680929788
paper_memlite,matlab,panelC_no_hurricane,C,4,DOM,Republica Dominicana,spread_mean_bp,Spread promedio (pb),448.6968521790093,meanspread_sim,416.0,True,mallucci2022_jie_table2,32.696852179009284,7.85982023533877
paper_memlite,matlab,panelC_no_hurricane,C,5,GRD,Granada,spread_mean_bp,Spread promedio (pb),405.9676876051905,meanspread_sim,406.0,True,mallucci2022_jie_table2,-0.03231239480948034,-0.007958717933369542
paper_memlite,matlab,panelC_no_hurricane,C,1,ATG,Antigua y Barbuda,debt_gdp,Deuda externa/PIB,0.530692178982272,meanBY_sim,0.52,True,mallucci2022_jie_table2,0.010692178982271927,2.0561882658215245
paper_memlite,matlab,panelC_no_hurricane,C,4,DOM,Republica Dominicana,debt_gdp,Deuda externa/PIB,0.2812182232464192,meanBY_sim,0.29,True,mallucci2022_jie_table2,-0.008781776753580772,-3.028198880545094
