spec,panel,iso3,moment,value_izq,value_der,moment_label,dif_abs,dif_rel,veredicto
panelC_no_hurricane,C,DOM,hurricane_freq,0.001,0.001,Frecuencia de huracan,0.0,0.0,identico
panelC_no_hurricane,C,DOM,spread_mean_bp,557.426751852709,557.4335668075871,Spread promedio (pb),0.006814954878109347,1.2225591144678427e-05,cercano
panelC_no_hurricane,C,DOM,spread_median_bp,,276.7699131081858,Spread mediano (pb),,,FALTA
panelC_no_hurricane,C,GRD,debt_gdp,0.6280873327266219,0.6280873327207404,Deuda externa/PIB,5.881517495254229e-12,9.364171491441603e-12,equivalente
panelC_no_hurricane,C,GRD,debt_gdp_market,0.5457056348695377,0.5457056348618956,Deuda/PIB (valor de mercado),7.642109167704803e-12,1.4004086964452562e-11,equivalente
panelC_no_hurricane,C,GRD,default_freq,0.0558064731624238,0.0558064731627498,Frecuencia de default,3.260031133933694e-13,5.841672030458517e-12,identico
panelC_no_hurricane,C,GRD,hurricane_freq,0.001,0.001,Frecuencia de huracan,0.0,0.0,identico
panelC_no_hurricane,C,GRD,spread_mean_bp,429.2592509669424,429.2592419580941,Spread promedio (pb),9.008848280700477e-06,2.0986963613264694e-08,cercano
panelC_no_hurricane,C,GRD,spread_median_bp,,151.2546407932902,Spread mediano (pb),,,FALTA
panelC_no_hurricane,C,JAM,debt_gdp,0.6489789464216641,0.6489789464401452,Deuda externa/PIB,1.8481105534817743e-11,2.8477203515140904e-11,equivalente
panelC_no_hurricane,C,JAM,debt_gdp_market,0.6307248931494603,0.6307248931696897,Deuda/PIB (valor de mercado),2.0229373731694977e-11,3.207321282347498e-11,equivalente
panelC_no_hurricane,C,JAM,default_freq,0.0386067101583457,0.0386067101583291,Frecuencia de default,1.659783421814609e-14,4.2992096840341885e-13,identico
panelC_no_hurricane,C,JAM,hurricane_freq,0.001,0.001,Frecuencia de huracan,0.0,0.0,identico
panelC_no_hurricane,C,JAM,spread_mean_bp,369.6384475308282,369.6384475606,Spread promedio (pb),2.977179747176706e-08,8.054302161542909e-11,equivalente
panelC_no_hurricane,C,JAM,spread_median_bp,,63.07489281148659,Spread mediano (pb),,,FALTA
